y dyb dya yKIND yTYPE ypos.lon ypos.lat beta0 beta1 ySST xbSST xaSST xISST dybSST dyaSST dyHadISST
Pacific_10_Linsley1994_Panama.d18O -5.903682 -0.20065498 -0.0688538017 KIND_coral d18O 278.0000 7.950000 -3.76076301 -0.07824851 27.38606 24.82173 26.50613 27.61939 2.5643298 0.879937540 -0.23332366
Pacific_11_Cobb2003_Palmyra.d18O -4.823542 -0.27552065 0.0509317349 KIND_coral d18O 197.8700 5.870000 0.81744100 -0.20245621 27.86273 26.50184 28.11430 27.89583 1.3608901 -0.251569145 -0.03309576
Pacific_4_Dunbar1994_Galapagos_CORR.d18O -4.085000 -0.04713820 0.0253619712 KIND_coral d18O 268.7700 -0.400000 -2.74109499 -0.05564931 24.14953 23.30248 24.60528 23.76768 0.8470581 -0.455746334 0.38185683
Pacific_5_Urban2000_Maiana.d18O -4.308843 -0.45689923 -0.0235428652 KIND_coral d18O 173.0000 1.000000 1.56026592 -0.20942679 28.02463 25.84296 27.91221 28.49008 2.1816656 0.112415726 -0.46545010
Pacific_6_Cole1990_TarawaAtoll.d18O -4.861317 -0.51235691 -0.1733004342 KIND_coral d18O 172.0000 1.000000 -0.09268931 -0.16440244 29.00582 25.88934 27.95170 28.49250 3.1164800 1.054123266 0.51332037
Pacific_10_Quinn2006_Rabaul.d18O -5.123234 -0.16841481 0.0202443852 KIND_coral d18O 151.9772 -4.191550 -0.92777793 -0.14923355 28.11336 26.98483 28.24901 29.07887 1.1285318 -0.135655726 -0.96551513
Pacific_16_Gorman2012_Vanuatu.d18O -4.556451 0.29555070 0.1733650983 KIND_coral d18O 166.0400 -15.940000 -1.15667904 -0.13990516 24.30055 26.41305 25.53971 27.18997 -2.1125075 -1.239161568 -2.88942010
Pacific_18_Quinn1998_NewCaledonia.d18O -4.304875 0.30445266 0.0664387596 KIND_coral d18O 166.4667 -22.475000 -0.02972338 -0.18947022 22.56371 24.17058 22.91437 24.35355 -1.6068629 -0.350655417 -1.78984118
Pacific_19_Bagnato2005_Suva.d18O 0.123950 0.16725750 -0.0233274024 KIND_coral d18O 179.2300 -16.820000 5.55116998 -0.21187763 25.61488 26.40429 25.50478 27.28231 -0.7894061 0.110098465 -1.66743293
Pacific_1_Felis2009_OgasawaraJapan.d18O -4.126083 -0.25125951 -0.2221362204 KIND_coral d18O 142.1941 27.105917 -1.22445689 -0.11202414 25.90180 23.65889 23.91886 24.33474 2.2429050 1.982931726 1.56705802
Pacific_22_Kuhnert2000Ningaloo.d18O -4.361749 0.43526028 0.4502603386 KIND_coral d18O 113.9650 -21.905000 -1.39384196 -0.13167684 22.53932 25.84484 25.95876 25.04614 -3.3055189 -3.419434604 -2.50682072
